2024-12-03 21:40:58,508: 
2024-12-03 21:40:58,508: Iteration n.0
2024-12-03 21:40:59,114: scrape-performance: 0.57
2024-12-03 21:40:59,117: found n.81 events
2024-12-03 21:41:04,134: 
2024-12-03 21:41:04,134: Iteration n.1
2024-12-03 21:41:04,717: scrape-performance: 0.5681
2024-12-03 21:41:04,720: found n.80 events
2024-12-03 21:41:09,737: 
2024-12-03 21:41:09,737: Iteration n.2
2024-12-03 21:41:10,170: scrape-performance: 0.4156
2024-12-03 21:41:10,172: found n.80 events
2024-12-03 21:41:15,188: 
2024-12-03 21:41:15,188: Iteration n.3
2024-12-03 21:41:15,802: scrape-performance: 0.5993
2024-12-03 21:41:15,962: found n.80 events
2024-12-03 21:41:20,982: 
2024-12-03 21:41:20,982: Iteration n.4
2024-12-03 21:41:21,409: scrape-performance: 0.4105
2024-12-03 21:41:21,411: found n.80 events
2024-12-03 21:41:26,427: 
2024-12-03 21:41:26,427: Iteration n.5
2024-12-03 21:41:26,950: scrape-performance: 0.5054
2024-12-03 21:41:26,952: found n.80 events
