2024-12-03 21:40:58,508: 
2024-12-03 21:40:58,508: Iteration n.0
2024-12-03 21:40:58,839: scrape-performance: 0.2946
2024-12-03 21:40:59,116: found n.89 events
2024-12-03 21:41:04,132: 
2024-12-03 21:41:04,132: Iteration n.1
2024-12-03 21:41:04,450: scrape-performance: 0.3018
2024-12-03 21:41:04,718: found n.89 events
2024-12-03 21:41:09,735: 
2024-12-03 21:41:09,735: Iteration n.2
2024-12-03 21:41:09,932: scrape-performance: 0.1779
2024-12-03 21:41:10,171: found n.88 events
2024-12-03 21:41:15,187: 
2024-12-03 21:41:15,187: Iteration n.3
2024-12-03 21:41:15,417: scrape-performance: 0.214
2024-12-03 21:41:15,959: found n.89 events
2024-12-03 21:41:20,980: 
2024-12-03 21:41:20,980: Iteration n.4
2024-12-03 21:41:21,210: scrape-performance: 0.2117
2024-12-03 21:41:21,410: found n.89 events
2024-12-03 21:41:26,426: 
2024-12-03 21:41:26,426: Iteration n.5
2024-12-03 21:41:26,578: scrape-performance: 0.1344
2024-12-03 21:41:26,951: found n.89 events
